06571091+0822381,5441.0,65.0,3.68,0.18,-0.73,0.05,1.49,0.23,Br31,0.9991
06572528+0821491,5633.0,82.0,3.3,0.21,-0.88,0.08,2.12,0.15,Br31,0.9988
06573197+0822179,6246.0,81.0,3.66,0.22,-0.45,0.08,1.94,,Br31,0.9962
06573806+0817056,5285.0,66.0,3.64,0.18,-0.37,0.05,1.58,0.17,Br31,0.9991
06574100+0818108,6334.0,84.0,3.88,0.22,-0.4,0.08,2.97,0.17,Br31,0.9982
06574924+0817547,5417.0,64.0,3.83,0.17,-0.36,0.05,1.99,0.12,Br31,0.9995
06575294+0810179,5663.0,65.0,4.19,0.17,-0.05,0.05,2.32,0.12,Br31,0.9897
06580238+0824247,6410.0,82.0,4.29,0.22,-0.22,0.08,3.3,0.16,Br31,0.9946
06581267+0821266,6413.0,84.0,4.19,0.22,-0.3,0.08,2.9,0.17,Br31,0.9886
06575696+0623208,6017.0,66.0,4.58,0.17,-0.46,0.05,2.06,,Br32,0.9996
06575844+0630186,5305.0,83.0,3.71,0.21,-0.39,0.08,1.71,,Br32,0.9999
06575960+0629472,5929.0,65.0,4.4,0.18,-0.42,0.06,2.52,0.09,Br32,1.0
06575966+0625208,5261.0,81.0,3.44,0.22,-0.29,0.08,1.42,,Br32,0.9995
06580072+0626232,5766.0,106.0,4.09,0.35,-0.21,0.09,2.4,0.19,Br32,0.9779
06580119+0622218,5468.0,84.0,3.76,0.22,-0.13,0.07,2.16,0.23,Br32,0.9737
06580174+0624137,6097.0,64.0,4.35,0.18,-0.7,0.05,2.66,0.08,Br32,0.9988
06580220+0627279,5925.0,66.0,4.32,0.17,-0.53,0.05,2.54,0.1,Br32,0.9731
06580252+0624288,6123.0,66.0,3.83,0.18,-0.5,0.05,2.56,0.08,Br32,1.0
06580301+0626441,6173.0,64.0,4.4,0.17,-0.48,0.05,2.62,0.08,Br32,0.9991
06580410+0628159,5704.0,80.0,4.5,0.21,-0.23,0.08,2.07,0.26,Br32,0.998
06580592+0625490,6209.0,64.0,4.14,0.17,-0.34,0.05,2.88,0.06,Br32,1.0
06580618+0627201,5300.0,64.0,4.39,0.17,-0.32,0.06,1.66,,Br32,0.9998
06580647+0629441,5356.0,104.0,4.49,0.33,-0.41,0.1,1.83,,Br32,0.9999
06580746+0629327,5021.0,66.0,3.27,0.17,-0.39,0.05,0.64,0.16,Br32,1.0
06580778+0626117,6020.0,66.0,4.16,0.17,-0.51,0.05,2.38,0.11,Br32,0.9839
06580835+0622432,5342.0,82.0,3.56,0.23,-0.23,0.08,1.84,0.26,Br32,0.9998
06580841+0626530,6133.0,66.0,3.96,0.18,-0.42,0.05,2.72,0.07,Br32,1.0
06580929+0624461,6245.0,65.0,3.74,0.18,-0.42,0.05,2.29,0.14,Br32,1.0
06580957+0626442,6004.0,83.0,4.11,0.23,-0.34,0.08,2.85,0.18,Br32,0.999
06581240+0625139,6180.0,66.0,4.2,0.17,-0.47,0.05,2.55,0.1,Br32,1.0
06581248+0628095,5952.0,83.0,4.36,0.21,-0.41,0.08,2.46,0.2,Br32,0.9986
06581260+0626218,5653.0,81.0,4.07,0.22,-0.15,0.08,1.89,,Br32,0.9999
06581755+0627122,5054.0,81.0,4.68,0.23,-0.68,0.08,1.24,,Br32,0.9931
06581779+0624300,5770.0,80.0,4.47,0.22,-0.29,0.07,2.43,0.25,Br32,0.9999
06581808+0622125,5597.0,64.0,3.52,0.18,-0.49,0.06,2.28,0.16,Br32,0.9999
06581889+0624243,5860.0,106.0,4.36,0.34,-0.3,0.1,2.31,,Br32,0.9999
06581928+0622065,6016.0,67.0,4.27,0.17,-0.29,0.06,2.55,0.1,Br32,1.0
