05515964+2144121 6239 81 4.08 0.22 -0.28 0.08 2.41 0.00 2.138 Br21
05520107+2153122 5419 65 4.37 0.17 -0.34 0.06 1.57 0.13 2.138 Br21
05520290+2148149 5638 82 4.04 0.21 -0.31 0.08 2.24 0.00 2.138 Br21
05520335+2146379 5844 81 3.36 0.22 -0.64 0.08 2.38 0.22 2.138 Br21
05520644+2152218 5798 82 3.52 0.22 -0.41 0.08 2.56 0.19 2.138 Br21
05520771+2150531 5290 66 3.54 0.18 -0.36 0.05 2.17 0.11 2.138 Br21
05520896+2147448 5003 66 3.08 0.18 -0.48 0.05 1.30 0.20 2.138 Br21
05575691+0747527 3664 108 4.84 0.24 -0.22 0.09 -0.24 0.56 2.455 Br22
05580207+0741304 4998 65 3.07 0.18 0.08 0.05 1.16 0.00 2.455 Br22
05580561+0749392 4481 65 4.58 0.18 -0.08 0.05 -0.04 0.65 2.455 Br22
05580716+0743388 4995 65 3.06 0.18 -0.13 0.05 0.86 0.15 2.455 Br22
05580794+0745557 5102 61 3.53 0.17 -0.26 0.06 1.50 0.16 2.455 Br22
05580834+0746473 6176 83 3.42 0.21 -0.17 0.08 2.65 0.18 2.455 Br22
05580963+0739029 3776 109 1.17 0.24 -0.27 0.09 -1.00 0.00 2.455 Br22
05581193+0743321 5041 65 3.73 0.18 -0.68 0.06 0.66 0.00 2.455 Br22
05581461+0747437 4407 66 1.89 0.17 -0.80 0.05 -0.18 0.20 2.455 Br22
05581572+0743315 4618 62 4.90 0.17 0.01 0.05 0.58 0.00 2.455 Br22
05581601+0745425 5254 64 3.82 0.17 -0.15 0.05 1.85 0.14 2.455 Br22
05581856+0738404 5114 64 3.22 0.18 -0.31 0.06 0.96 0.41 2.455 Br22
05581861+0740568 5885 65 4.64 0.17 0.04 0.05 2.92 0.09 2.455 Br22
05582173+0745314 5033 62 3.57 0.18 -0.19 0.05 1.47 0.14 2.455 Br22
05582173+0747012 5011 65 3.06 0.17 -0.20 0.05 1.22 0.16 2.455 Br22
05582184+0739508 4722 63 4.62 0.17 0.00 0.05 0.66 0.35 2.455 Br22
05582695+0745261 3776 107 1.03 0.24 -0.16 0.09 -1.00 0.00 2.455 Br22
05582709+0746206 4946 66 3.05 0.17 -0.12 0.05 1.25 0.12 2.455 Br22
05582800+0742274 5083 64 3.29 0.17 -0.41 0.05 1.03 0.26 2.455 Br22
05582869+0744339 5142 83 3.23 0.22 -0.43 0.08 1.86 0.17 2.455 Br22
05582874+0740292 5022 65 2.93 0.17 -0.65 0.05 0.67 0.24 2.455 Br22
05583119+0745274 5136 66 3.75 0.17 -0.07 0.06 1.52 0.16 2.455 Br22
05583459+0744390 4918 64 2.85 0.17 -0.31 0.05 0.69 0.22 2.455 Br22
05575941+0742462 5489 82 3.99 0.22 0.15 0.08 2.36 0.15 2.455 Br22
05580094+0748350 4976 82 2.11 0.21 -0.96 0.08 1.47 0.00 2.455 Br22
05580377+0742527 6332 81 4.17 0.22 -0.46 0.08 3.13 0.00 2.455 Br22
05580515+0746504 5084 82 2.92 0.22 -0.90 0.08 1.10 0.00 2.455 Br22
05580731+0749121 4621 83 3.25 0.22 -0.73 0.08 0.51 0.00 2.455 Br22
05580866+0744347 5153 82 3.43 0.22 -0.31 0.08 1.50 0.00 2.455 Br22
05581189+0741173 5179 85 2.97 0.22 -0.39 0.08 1.64 0.29 2.455 Br22
05581634+0745408 6372 81 3.92 0.22 -0.18 0.08 2.98 0.19 2.455 Br22
05582088+0746054 6378 82 4.43 0.33 -0.54 0.08 2.87 0.24 2.455 Br22
05582101+0743505 5947 81 4.62 0.22 -0.40 0.07 2.60 0.19 2.455 Br22
05582153+0745171 5177 82 4.01 0.22 -0.25 0.08 1.48 0.27 2.455 Br22
05582179+0743161 5559 79 4.74 0.21 -0.01 0.07 2.06 0.30 2.455 Br22
05582225+0744513 6458 102 4.08 0.33 -0.23 0.10 3.04 0.17 2.455 Br22
05582359+0746424 4867 81 3.16 0.22 -0.26 0.08 1.20 0.00 2.455 Br22
05582381+0745440 6125 83 3.81 0.22 -0.81 0.08 2.68 0.00 2.455 Br22
05582549+0743317 5711 65 4.00 0.18 -0.13 0.05 2.00 0.32 2.455 Br22
05582675+0745397 4788 84 1.23 0.22 -0.52 0.07 1.00 0.00 2.455 Br22
05582878+0746196 5016 81 2.98 0.22 -0.24 0.08 1.56 0.20 2.455 Br22
05583050+0747464 6263 84 4.14 0.22 -0.22 0.08 2.80 0.00 2.455 Br22
